(-2381551.0283066323, (8, 10, 12))
(-2380643.6268531657, (8, 11, 11))
(-2378357.979509632, (9, 9, 12))
(-2375752.510141472, (9, 10, 11))
(-2374054.442226778, (10, 10, 10))
(-1902212.8058627232, (1, 14, 14))
(-1592531.4462975143, (2, 13, 14))
(-1429341.2725919653, (3, 12, 14))
(-1429183.544842728, (3, 13, 13))
(-1343519.6956948151, (4, 11, 14))
(-1343094.6774569128, (4, 12, 13))
(-1314190.4140024865, (0, 14, 14))
(-1298861.537261903, (5, 10, 14))
(-1297950.4236737369, (5, 11, 13))
(-1297683.1331850719, (5, 12, 12))
(-1276607.624913382, (6, 9, 14))
(-1274791.9102713498, (6, 10, 13))
(-1274038.524432421, (6, 11, 12))
(-1267397.3049701368, (7, 8, 14))
(-1263885.0270421153, (7, 9, 13))
(-1262227.0401493204, (7, 10, 12))
(-1261740.9447990565, (7, 11, 11))
(-1260692.7875691245, (8, 8, 13))
(-1257338.2373903403, (8, 9, 12))
(-1255947.5409862103, (8, 10, 11))
(-1254250.9777002211, (9, 9, 11))
(-1253346.376646355, (9, 10, 10))
(-1004436.9266766995, (1, 13, 14))
(-841111.008285908, (2, 12, 14))
(-841016.8974613353, (2, 13, 13))
(-755033.3936473456, (3, 11, 14))
(-754791.2853902776, (3, 12, 13))
(-709891.1754286053, (4, 10, 14))
(-709386.9938656894, (4, 11, 13))
(-709238.9964331941, (4, 12, 12))
(-694518.7805273833, (0, 13, 14))
(-686719.8971910534, (5, 9, 14))
(-685732.4206774741, (5, 10, 13))
(-685322.349939131, (5, 11, 12))
(-675830.211164616, (6, 8, 14))
(-673939.6382258753, (6, 9, 13))
(-673046.2725368688, (6, 10, 12))
(-672784.1992310209, (6, 11, 11))
(-672638.4080552616, (7, 7, 14))
(-669052.0811545409, (7, 8, 13))
(-667255.6190403729, (7, 9, 12))
(-666510.2507838616, (7, 10, 11))
(-665559.8650783929, (8, 8, 12))
(-663911.4003967202, (8, 9, 11))
(-663428.1054460568, (8, 10, 10))
(-662525.0090208953, (9, 9, 10))
(-531120.7343760139, (1, 12, 14))
(-531060.5983708426, (1, 13, 13))
(-444907.37505220895, (2, 11, 14))
(-444762.858539207, (2, 12, 13))
(-399509.1190920563, (3, 10, 14))
(-399221.82232937624, (3, 11, 13))
(-399137.4418215456, (3, 12, 12))
(-375853.78106867615, (4, 9, 14))
(-375307.21139974863, (4, 10, 13))
(-375080.05064223986, (4, 11, 12))
(-367558.029401115, (0, 12, 14))
(-367516.0632731253, (0, 13, 13))
(-364046.72915320797, (5, 8, 14))
(-363018.3691623217, (5, 9, 13))
(-362531.9354985654, (5, 10, 12))
(-362389.1552488873, (5, 11, 11))
(-359175.5599606614, (6, 7, 14))
(-357244.912868623, (6, 8, 13))
(-356276.68888290797, (6, 9, 12))
(-355874.6357269824, (6, 10, 11))
(-355549.5952702793, (7, 7, 13))
(-353679.0841834122, (7, 8, 12))
(-352795.24070552783, (7, 9, 11))
(-352535.9677992803, (7, 10, 10))
(-351892.95360437577, (8, 8, 11))
(-351151.8903761695, (8, 9, 10))
(-350670.10005421075, (9, 9, 9))
(-281272.5423167322, (1, 11, 14))
(-281180.1705003133, (1, 12, 13))
(-235738.54167133698, (2, 10, 14))
(-235567.0065299046, (2, 11, 13))
(-235516.60084147542, (2, 12, 12))
