(-454658.99148048915, (10, 11, 11), (0, 9, 1, 9, 4, 6))
(-454658.99148048915, (11, 10, 11), (1, 9, 0, 9, 4, 6))
(-454658.99148048915, (11, 10, 11), (4, 6, 0, 9, 1, 9))
(-454658.99148048915, (11, 11, 10), (1, 9, 4, 6, 0, 9))
(-454658.9914804891, (10, 11, 11), (0, 9, 4, 6, 1, 9))
(-447592.61107395834, (10, 11, 11), (0, 9, 5, 5, 1, 9))
(-447592.61107395834, (11, 10, 11), (1, 9, 0, 9, 5, 5))
(-447592.61107395834, (11, 10, 11), (5, 5, 0, 9, 1, 9))
(-447592.6110739583, (10, 11, 11), (0, 9, 1, 9, 5, 5))
(-447592.6110739583, (11, 11, 10), (1, 9, 5, 5, 0, 9))
(-447592.6110739583, (11, 11, 10), (5, 5, 1, 9, 0, 9))
(-445508.00105002255, (11, 10, 11), (2, 8, 0, 9, 2, 8))
(-445508.00105002255, (11, 11, 10), (2, 8, 2, 8, 0, 9))
(-445508.0010500225, (10, 11, 11), (0, 9, 2, 8, 2, 8))
(-441531.54931138677, (11, 11, 11), (2, 8, 3, 7, 3, 7))
(-441531.54931138677, (11, 11, 11), (3, 7, 2, 8, 3, 7))
(-441531.54931138677, (11, 11, 11), (3, 7, 3, 7, 2, 8))
(-436210.297834854, (10, 11, 10), (0, 9, 1, 9, 0, 9))
(-436210.29783485393, (10, 10, 11), (0, 9, 0, 9, 1, 9))
(-436210.29783485393, (11, 10, 10), (1, 9, 0, 9, 0, 9))
(-419205.99444973934, (11, 11, 11), (2, 8, 3, 7, 4, 6))
(-419205.99444973934, (11, 11, 11), (2, 8, 4, 6, 3, 7))
(-419205.99444973934, (11, 11, 11), (3, 7, 2, 8, 4, 6))
(-419205.99444973934, (11, 11, 11), (3, 7, 4, 6, 2, 8))
(-419205.99444973934, (11, 11, 11), (4, 6, 2, 8, 3, 7))
(-419205.99444973934, (11, 11, 11), (4, 6, 3, 7, 2, 8))
(-412694.73446041386, (11, 11, 11), (5, 5, 2, 8, 3, 7))
(-412694.7344604138, (11, 11, 11), (2, 8, 3, 7, 5, 5))
(-412694.7344604138, (11, 11, 11), (2, 8, 5, 5, 3, 7))
(-412694.7344604138, (11, 11, 11), (3, 7, 2, 8, 5, 5))
(-412694.7344604138, (11, 11, 11), (3, 7, 5, 5, 2, 8))
(-412694.7344604138, (11, 11, 11), (5, 5, 3, 7, 2, 8))
(-407718.34084485203, (11, 10, 11), (1, 9, 2, 7, 1, 9))
(-407718.34084485203, (11, 11, 10), (1, 9, 1, 9, 2, 7))
(-407718.340844852, (10, 11, 11), (2, 7, 1, 9, 1, 9))
(-406543.9841235984, (10, 11, 11), (1, 8, 1, 9, 2, 8))
(-406543.9841235984, (11, 10, 11), (1, 9, 1, 8, 2, 8))
(-406543.9841235983, (11, 10, 11), (2, 8, 1, 8, 1, 9))
(-406543.9841235983, (11, 11, 10), (1, 9, 2, 8, 1, 8))
(-406543.9841235983, (11, 11, 10), (2, 8, 1, 9, 1, 8))
(-406543.98412359826, (10, 11, 11), (1, 8, 2, 8, 1, 9))
(-402078.765416751, (10, 11, 11), (0, 9, 2, 8, 3, 7))
